"seller_id"	"seller_city"	"seller_state"	"total_orders"	"unique_customers"	"categories_sold"	"total_gmv"	"avg_order_value"	"total_freight"	"freight_pct_of_gmv"	"avg_delivery_days"	"avg_review_score"	"late_delivery_pct"
"4869f7a5dfa277a7dca6462dcf3b52b2"	"guariba"	"SP"	1116	1109	10	225586.34	197.88	19882.63	8.8	14.9	4.14	11.5
"53243585a1d6dc2643021fd1853d8905"	"lauro de freitas"	"BA"	346	338	2	215904.44	542.47	12739.65	5.9	13.3	4.13	3.8
"4a3ca9315b744ce9f8e9374361493884"	"ibitinga"	"SP"	1753	1740	7	194699.12	101.04	34020.52	17.5	14.4	3.83	11.0
"fa1c13f2614d7b5c4749cbc52fecda94"	"sumare"	"SP"	574	571	5	189649.54	329.83	9843.97	5.2	13.3	4.37	9.7
"7c67e1448b00f6e969d365cea6b010ab"	"itaquaquecetuba"	"SP"	967	956	6	185170.23	137.47	50871.98	27.5	22.4	3.35	9.5
"7e93a43ef30c4f03f38b393420bc753a"	"barueri"	"SP"	318	318	7	165751.50	516.36	5955.13	3.6	11.2	4.36	5.3
"da8622b14eb17ae2831f4ac5b9dab84a"	"piracicaba"	"SP"	1305	1267	4	159087.47	103.17	24757.37	15.6	11.1	4.07	7.1
"7a67c85e85bb2ce8582c35f2203ad736"	"sao paulo"	"SP"	1137	1132	2	138608.77	120.84	20481.88	14.8	11.1	4.27	5.8
"1025f0e2d44d7041d6cf58b6550e0bfa"	"sao paulo"	"SP"	902	886	4	137179.80	97.43	33488.13	24.4	12.0	3.86	9.2
"955fee9216a65b617aa5c0531780ce60"	"sao paulo"	"SP"	1253	1249	22	130753.82	89.43	24601.29	18.8	10.7	4.09	8.0
"46dc3b2cc0980fb8ec44634e21d2718e"	"rio de janeiro"	"RJ"	497	497	7	120866.45	234.24	11235.64	9.3	11.7	4.26	6.2
"6560211a19b47992c3666cc44a7e94c0"	"sao paulo"	"SP"	1805	1777	7	119729.83	60.50	27146.35	22.7	9.5	3.95	6.2
"7d13fca15225358621be4086e1eb0964"	"ribeirao preto"	"SP"	555	554	7	112027.29	197.23	8444.92	7.5	15.7	4.02	12.0
"620c87c171fb2a6dd6e8bb4dec959fc6"	"petropolis"	"RJ"	716	703	2	111242.80	145.42	13687.28	12.3	12.8	4.27	9.3
"5dceca129747e92ff8ef7a997dc4f8ca"	"santa barbara d´oeste"	"SP"	318	314	6	109459.93	322.89	13431.23	12.3	11.2	4.02	5.9
"1f50f920176fa81dab994f9023523100"	"sao jose do rio preto"	"SP"	1394	1378	3	106226.51	55.38	34884.57	32.8	15.4	3.99	9.2
"cc419e0650a3c5ba77189a1882b7556a"	"santo andre"	"SP"	1647	1603	4	100837.00	58.80	24811.65	24.6	11.6	4.14	6.0
"a1043bafd471dff536d0c462352beb48"	"ilicinea"	"MG"	700	696	3	99011.23	132.01	31022.77	31.3	13.6	4.25	5.6
"3d871de0142ce09b7081e2b9d1733cb1"	"campo limpo paulista"	"SP"	1053	1047	6	92405.00	82.58	21850.24	23.6	13.4	4.15	5.9
"edb1ef5e36e0c8cd84eb3c9b003e486d"	"teresopolis"	"RJ"	165	163	1	79144.90	454.86	3886.24	4.9	11.7	4.45	7.5
"ccc4bbb5f32a6ab2b7066a4130f114e3"	"curitiba"	"PR"	183	182	2	72576.82	386.05	5145.91	7.1	15.9	4.32	7.4
"f7ba60f8c3f99e7ee4042fdef03b70c4"	"sao bernardo do campo"	"SP"	218	218	2	68070.00	297.25	4317.94	6.3	13.1	4.22	16.6
"fe2032dab1a61af8794248c8196565c9"	"campinas"	"SP"	289	288	2	64935.71	215.73	4643.70	7.2	10.4	4.40	8.3
"8581055ce74af1daba164fdbd55a40de"	"guarulhos"	"SP"	378	369	1	63828.37	150.18	9433.50	14.8	12.8	4.26	9.9
"cca3071e3e9bb7d12640c9fbe2301306"	"ibitinga"	"SP"	688	677	6	61809.47	77.26	13895.19	22.5	14.2	3.88	5.3
"04308b1ee57b6625f47df1d56f00eedf"	"bombinhas"	"SC"	92	92	1	58991.80	641.22	2948.82	5.0	18.9	3.95	12.0
"522620dcb18a6b31cd7bdf73665113a9"	"cascavel"	"PR"	169	168	11	55697.70	318.27	4527.99	8.1	15.2	3.91	9.7
"de722cd6dad950a92b7d4f82673f8833"	"recife"	"PE"	336	335	2	54976.40	146.21	9622.70	17.5	12.7	4.17	3.7
"37be5a7c751166fbc5f8ccba4119e043"	"sao paulo"	"SP"	266	262	2	54120.55	196.80	5950.40	11.0	10.6	4.33	2.5
"25c5c91f63607446a97b143d2d535d31"	"itauna"	"MG"	155	149	2	54053.90	203.98	6929.08	12.8	13.8	3.75	5.7
"7ddcbb64b5bc1ef36ca8c151f6ec77df"	"sao paulo"	"SP"	322	321	9	53928.69	162.93	7677.41	14.2	12.6	3.98	8.2
"218d46b86c1881d022bce9c68a7d4b15"	"ribeirao preto"	"SP"	380	371	3	53490.30	127.97	7420.49	13.9	13.8	4.17	9.1
"17e34d8224d27a541263c4c64b11a56b"	"riberao preto"	"SP"	245	244	12	51453.19	199.43	4893.57	9.5	14.0	4.20	8.1
"f5a590cf36251cf1162ea35bef76fe84"	"sao bernardo do campo"	"SP"	113	113	4	51232.78	434.18	4134.18	8.1	11.8	4.28	10.2
"e882b2a25a10b9c057cc49695f222c19"	"teresopolis"	"RJ"	57	56	8	51057.54	880.30	2856.22	5.6	9.5	4.59	0.0
"ceaec5548eefc6e23e6607c5435102e7"	"sao paulo"	"SP"	195	193	7	50838.19	250.43	6113.63	12.0	12.8	4.20	5.4
"2bf6a2c1e71bbd29a4ad64e6d3c3629f"	"nova friburgo"	"RJ"	30	30	2	50628.90	1633.19	1000.59	2.0	13.4	4.19	9.7
"f8db351d8c4c4c22c6835c19a46f01b0"	"salto"	"SP"	656	654	20	49941.90	70.24	12354.23	24.7	9.9	4.25	5.9
"17f51e7198701186712e53a39c564617"	"sao paulo"	"SP"	56	56	1	48019.00	787.20	9793.43	20.4	22.8	4.34	8.2
"b2ba3715d723d245138f291a6fe42594"	"sao paulo"	"SP"	321	320	27	47377.48	136.53	6084.39	12.8	13.9	4.20	8.4
"966cb4760537b1404caedd472cc610a5"	"diadema"	"SP"	67	66	1	45928.26	685.50	1504.31	3.3	10.0	4.13	3.0
"8160255418d5aaa7dbdc9f4c64ebda44"	"ibitinga"	"SP"	376	374	4	45725.89	109.13	7599.24	16.6	16.7	3.85	17.7
"77530e9772f57a62c906e1c21538ab82"	"curitiba"	"PR"	312	308	2	45676.60	119.89	8274.71	18.1	15.1	4.08	11.5
"4e922959ae960d389249c378d1c939f5"	"jacarei"	"SP"	408	407	24	44954.42	101.71	7084.26	15.8	14.6	3.90	10.6
"c826c40d7b19f62a09e2d7c5e7295ee2"	"guarulhos"	"SP"	345	345	2	44530.05	122.34	5426.06	12.2	13.1	4.09	8.8
"b33e7c55446eabf8fe1a42d037ac7d6d"	"pradopolis"	"SP"	149	149	5	44215.17	290.89	2656.38	6.0	16.4	4.19	13.2
"ba90964cff9b9e0e6f32b23b82465f7b"	"guarulhos"	"SP"	38	38	5	44212.50	1163.49	1311.00	3.0	10.0	4.42	5.3
"850f4f8af5ea87287ac68de36e29107f"	"sao paulo"	"SP"	183	183	4	43589.37	233.10	3005.79	6.9	10.1	4.29	6.4
"eeb6de78f79159600292e314a77cbd18"	"lages"	"SC"	82	81	3	43510.84	524.23	2996.05	6.9	12.1	4.42	3.6
"4d6d651bd7684af3fffabd5f08d12e5a"	"jau"	"SP"	362	349	3	42929.10	110.64	7774.77	18.1	13.1	4.20	4.6




Query 2 — Seller Performance Scorecard
Business question: Can we classify sellers into performance tiers?
Why it matters: This is how real marketplace operations teams decide who gets promoted in search results, who gets coaching, and who gets removed. You're building the exact framework used at Amazon, Shopify, and Mercado Livre.


"seller_id"	"seller_state"	"total_orders"	"total_gmv"	"avg_delivery_days"	"avg_review_score"	"late_delivery_pct"	"freight_pct"	"seller_tier"
"4869f7a5dfa277a7dca6462dcf3b52b2"	"SP"	1116	225586.34	14.9	4.14	11.5	8.8	"Gold — Strong seller"
"53243585a1d6dc2643021fd1853d8905"	"BA"	346	215904.44	13.3	4.13	3.8	5.9	"Gold — Strong seller"
"4a3ca9315b744ce9f8e9374361493884"	"SP"	1753	194699.12	14.4	3.83	11.0	17.5	"Silver — Average seller"
"fa1c13f2614d7b5c4749cbc52fecda94"	"SP"	574	189649.54	13.3	4.37	9.7	5.2	"Gold — Strong seller"
"7c67e1448b00f6e969d365cea6b010ab"	"SP"	967	185170.23	22.4	3.35	9.5	27.5	"Bronze — At-risk seller"
"7e93a43ef30c4f03f38b393420bc753a"	"SP"	318	165751.50	11.2	4.36	5.3	3.6	"Platinum — Elite seller"
"da8622b14eb17ae2831f4ac5b9dab84a"	"SP"	1305	159087.47	11.1	4.07	7.1	15.6	"Gold — Strong seller"
"7a67c85e85bb2ce8582c35f2203ad736"	"SP"	1137	138608.77	11.1	4.27	5.8	14.8	"Platinum — Elite seller"
"1025f0e2d44d7041d6cf58b6550e0bfa"	"SP"	902	137179.80	12.0	3.86	9.2	24.4	"Silver — Average seller"
"955fee9216a65b617aa5c0531780ce60"	"SP"	1253	130753.82	10.7	4.09	8.0	18.8	"Gold — Strong seller"
"46dc3b2cc0980fb8ec44634e21d2718e"	"RJ"	497	120866.45	11.7	4.26	6.2	9.3	"Platinum — Elite seller"
"6560211a19b47992c3666cc44a7e94c0"	"SP"	1805	119729.83	9.5	3.95	6.2	22.7	"Silver — Average seller"
"7d13fca15225358621be4086e1eb0964"	"SP"	555	112027.29	15.7	4.02	12.0	7.5	"Silver — Average seller"
"620c87c171fb2a6dd6e8bb4dec959fc6"	"RJ"	716	111242.80	12.8	4.27	9.3	12.3	"Gold — Strong seller"
"5dceca129747e92ff8ef7a997dc4f8ca"	"SP"	318	109459.93	11.2	4.02	5.9	12.3	"Gold — Strong seller"
"1f50f920176fa81dab994f9023523100"	"SP"	1394	106226.51	15.4	3.99	9.2	32.8	"Silver — Average seller"
"cc419e0650a3c5ba77189a1882b7556a"	"SP"	1647	100837.00	11.6	4.14	6.0	24.6	"Gold — Strong seller"
"a1043bafd471dff536d0c462352beb48"	"MG"	700	99011.23	13.6	4.25	5.6	31.3	"Gold — Strong seller"
"3d871de0142ce09b7081e2b9d1733cb1"	"SP"	1053	92405.00	13.4	4.15	5.9	23.6	"Gold — Strong seller"
"edb1ef5e36e0c8cd84eb3c9b003e486d"	"RJ"	165	79144.90	11.7	4.45	7.5	4.9	"Platinum — Elite seller"
"ccc4bbb5f32a6ab2b7066a4130f114e3"	"PR"	183	72576.82	15.9	4.32	7.4	7.1	"Silver — Average seller"
"f7ba60f8c3f99e7ee4042fdef03b70c4"	"SP"	218	68070.00	13.1	4.22	16.6	6.3	"Gold — Strong seller"
"fe2032dab1a61af8794248c8196565c9"	"SP"	289	64935.71	10.4	4.40	8.3	7.2	"Platinum — Elite seller"
"8581055ce74af1daba164fdbd55a40de"	"SP"	378	63828.37	12.8	4.26	9.9	14.8	"Gold — Strong seller"
"cca3071e3e9bb7d12640c9fbe2301306"	"SP"	688	61809.47	14.2	3.88	5.3	22.5	"Silver — Average seller"
"04308b1ee57b6625f47df1d56f00eedf"	"SC"	92	58991.80	18.9	3.95	12.0	5.0	"Silver — Average seller"
"522620dcb18a6b31cd7bdf73665113a9"	"PR"	169	55697.70	15.2	3.91	9.7	8.1	"Silver — Average seller"
"de722cd6dad950a92b7d4f82673f8833"	"PE"	336	54976.40	12.7	4.17	3.7	17.5	"Gold — Strong seller"
"37be5a7c751166fbc5f8ccba4119e043"	"SP"	266	54120.55	10.6	4.33	2.5	11.0	"Platinum — Elite seller"
"25c5c91f63607446a97b143d2d535d31"	"MG"	155	54053.90	13.8	3.75	5.7	12.8	"Silver — Average seller"
"7ddcbb64b5bc1ef36ca8c151f6ec77df"	"SP"	322	53928.69	12.6	3.98	8.2	14.2	"Silver — Average seller"
"218d46b86c1881d022bce9c68a7d4b15"	"SP"	380	53490.30	13.8	4.17	9.1	13.9	"Gold — Strong seller"
"17e34d8224d27a541263c4c64b11a56b"	"SP"	245	51453.19	14.0	4.20	8.1	9.5	"Gold — Strong seller"
"f5a590cf36251cf1162ea35bef76fe84"	"SP"	113	51232.78	11.8	4.28	10.2	8.1	"Gold — Strong seller"
"e882b2a25a10b9c057cc49695f222c19"	"RJ"	57	51057.54	9.5	4.59	0.0	5.6	"Platinum — Elite seller"
"ceaec5548eefc6e23e6607c5435102e7"	"SP"	195	50838.19	12.8	4.20	5.4	12.0	"Gold — Strong seller"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f"	"RJ"	30	50628.90	13.4	4.19	9.7	2.0	"Gold — Strong seller"
"f8db351d8c4c4c22c6835c19a46f01b0"	"SP"	656	49941.90	9.9	4.25	5.9	24.7	"Platinum — Elite seller"
"17f51e7198701186712e53a39c564617"	"SP"	56	48019.00	22.8	4.34	8.2	20.4	"Silver — Average seller"
"b2ba3715d723d245138f291a6fe42594"	"SP"	321	47377.48	13.9	4.20	8.4	12.8	"Gold — Strong seller"
"966cb4760537b1404caedd472cc610a5"	"SP"	67	45928.26	10.0	4.13	3.0	3.3	"Gold — Strong seller"
"8160255418d5aaa7dbdc9f4c64ebda44"	"SP"	376	45725.89	16.7	3.85	17.7	16.6	"Silver — Average seller"
"77530e9772f57a62c906e1c21538ab82"	"PR"	312	45676.60	15.1	4.08	11.5	18.1	"Silver — Average seller"
"4e922959ae960d389249c378d1c939f5"	"SP"	408	44954.42	14.6	3.90	10.6	15.8	"Silver — Average seller"
"c826c40d7b19f62a09e2d7c5e7295ee2"	"SP"	345	44530.05	13.1	4.09	8.8	12.2	"Gold — Strong seller"
"b33e7c55446eabf8fe1a42d037ac7d6d"	"SP"	149	44215.17	16.4	4.19	13.2	6.0	"Silver — Average seller"
"ba90964cff9b9e0e6f32b23b82465f7b"	"SP"	38	44212.50	10.0	4.42	5.3	3.0	"Platinum — Elite seller"
"850f4f8af5ea87287ac68de36e29107f"	"SP"	183	43589.37	10.1	4.29	6.4	6.9	"Platinum — Elite seller"
"eeb6de78f79159600292e314a77cbd18"	"SC"	82	43510.84	12.1	4.42	3.6	6.9	"Gold — Strong seller"
"4d6d651bd7684af3fffabd5f08d12e5a"	"SP"	362	42929.10	13.1	4.20	4.6	18.1	"Gold — Strong seller"
"c3cfdc648177fdbbbb35635a37472c53"	"PR"	277	42868.19	9.6	4.45	2.3	14.1	"Platinum — Elite seller"
"b839e41795b7f3ad94cc2014a52f6796"	"SP"	33	42829.00	6.9	4.03	2.8	2.2	"Gold — Strong seller"
"e9779976487b77c6d4ac45f75ec7afe9"	"SP"	642	42021.22	9.8	4.20	7.3	23.6	"Platinum — Elite seller"
"834f3294fba9f932f56edc879193f925"	"SP"	66	39907.50	14.3	4.55	6.1	10.8	"Gold — Strong seller"
"17a053fcb14bd219540cbde0df490be0"	"SP"	122	39733.44	11.6	4.23	7.5	21.8	"Platinum — Elite seller"
"d91fb3b7d041e83b64a00a3edfb37e4f"	"SP"	520	39616.34	11.2	4.15	6.1	22.8	"Gold — Strong seller"
"391fc6631aebcf3004804e51b40bcf1e"	"SP"	518	39311.11	14.2	3.98	9.5	25.5	"Silver — Average seller"
"634964b17796e64304cadf1ad3050fb7"	"RJ"	265	39114.10	14.5	3.87	9.6	15.1	"Silver — Average seller"
"712e6ed8aa4aa1fa65dab41fed5737e4"	"SC"	76	38796.00	23.3	3.46	20.2	17.3	"Bronze — At-risk seller"
"2eb70248d66e0e3ef83659f71b244378"	"SP"	184	37624.95	17.9	2.81	13.9	8.0	"Bronze — At-risk seller"
"7142540dd4c91e2237acb7e911c4eba2"	"SP"	314	37012.14	14.8	4.06	8.0	18.4	"Gold — Strong seller"
"7178f9f4dd81dcef02f62acdf8151e01"	"SC"	201	36755.50	15.7	4.05	4.7	11.9	"Silver — Average seller"
"ea8482cd71df3c1969d7b9473ff13abc"	"SP"	1126	36408.84	13.3	3.98	10.3	47.2	"Silver — Average seller"
"c70c1b0d8ca86052f45a432a38b73958"	"SP"	258	35958.19	7.7	4.32	8.1	10.8	"Platinum — Elite seller"
"06a2c3af7b3aee5d69171b0e14f0ee87"	"MA"	385	35529.05	17.6	4.02	22.5	33.5	"Silver — Average seller"
"c3867b4666c7d76867627c2f7fb22e21"	"SP"	226	34368.90	15.2	4.02	10.9	13.6	"Silver — Average seller"
"7299e27ed73d2ad986de7f7c77d919fa"	"MG"	335	34107.44	11.3	4.43	4.7	20.0	"Platinum — Elite seller"
"e9bc59e7b60fc3063eb2290deda4cced"	"PR"	209	33543.69	14.6	4.03	12.7	13.5	"Gold — Strong seller"
"1835b56ce799e6a4dc4eddc053f04066"	"SP"	414	32788.38	12.8	3.62	10.6	26.0	"Silver — Average seller"
"dbc22125167c298ef99da25668e1011f"	"MG"	393	32788.22	11.4	4.27	2.4	23.7	"Platinum — Elite seller"
"5c243662ce92d84573bfaff24c3e3700"	"SP"	97	32752.12	10.7	4.13	3.0	5.4	"Gold — Strong seller"
"9c0e69c7bf2619675bbadf47b43f655a"	"SP"	150	32368.59	15.2	4.12	9.6	8.7	"Silver — Average seller"
"2528513dd95219a6013d4d05176e391a"	"SP"	157	31763.20	10.6	3.96	5.5	11.5	"Silver — Average seller"
"0241d4d5d36f10f80c644447315af0bd"	"PR"	237	31317.80	10.9	4.31	5.7	21.8	"Platinum — Elite seller"
"76d5af76d0271110f9af36c92573f765"	"SP"	127	31285.70	11.6	4.10	8.4	12.0	"Gold — Strong seller"
"88460e8ebdecbfecb5f9601833981930"	"PR"	245	31244.15	18.2	3.36	19.4	15.8	"Bronze — At-risk seller"
"70eea00b476a314817cefde4aad4f89a"	"SP"	105	31154.85	13.4	4.38	7.2	8.7	"Gold — Strong seller"
"7681ef142fd2c19048da7430856b5588"	"SP"	57	31095.81	9.9	4.16	9.5	9.1	"Gold — Strong seller"
"87142160b41353c4e5fca2360caf6f92"	"RS"	304	31061.08	10.8	4.36	5.6	23.2	"Platinum — Elite seller"
"e59aa562b9f8076dd550fcddf0e73491"	"PR"	69	30716.30	13.7	4.33	8.5	7.0	"Gold — Strong seller"
"855668e0971d4dfd7bef1b6a4133b41b"	"SP"	296	30313.25	15.9	3.83	13.4	24.4	"Silver — Average seller"
"70a12e78e608ac31179aea7f8422044b"	"SP"	310	29823.53	14.7	3.79	10.9	18.4	"Silver — Average seller"
"53e4c6e0f4312d4d2107a8c9cddf45cd"	"SP"	461	29452.78	12.1	4.08	5.3	32.9	"Gold — Strong seller"
"d23019c84ffae2d5ef2270367b8605fc"	"PR"	39	29205.10	11.3	4.41	2.6	9.4	"Platinum — Elite seller"
"1554a68530182680ad5c8b042c3ab563"	"MG"	244	28617.44	14.0	4.27	6.8	23.3	"Gold — Strong seller"
"0b90b6df587eb83608a64ea8b390cf07"	"PR"	162	28408.76	14.3	4.02	2.9	12.6	"Gold — Strong seller"
"900ba814c251a692506d7834c1218441"	"SP"	84	27826.35	12.3	4.23	13.1	8.2	"Gold — Strong seller"
"59b22a78efb79a4797979612b885db36"	"MG"	124	26985.50	12.5	3.97	12.9	18.0	"Silver — Average seller"
"d1c281d3ae149232351cd8c8cc885f0d"	"SP"	212	26657.63	12.5	3.80	8.9	19.9	"Silver — Average seller"
"b32be1695eb7ec5f10f72d9610a12527"	"RS"	43	26276.00	12.4	4.16	4.5	11.1	"Gold — Strong seller"
"12b9676b00f60f3b700e83af21824c0e"	"RS"	132	26177.00	14.9	4.55	1.5	13.2	"Gold — Strong seller"
"a3a38f4affed601eb87a97788c949667"	"SC"	249	26074.63	12.4	4.40	4.3	19.7	"Gold — Strong seller"
"de23c3b98a88888289c6f5cc1209054a"	"SP"	161	25933.67	10.8	4.31	9.0	10.2	"Platinum — Elite seller"
"9f505651f4a6abe901a56cdc21508025"	"SP"	390	25750.87	8.2	4.31	4.7	23.0	"Platinum — Elite seller"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d"	"SP"	153	25703.53	15.5	4.16	13.2	11.1	"Silver — Average seller"
"16090f2ca825584b5a147ab24aa30c86"	"SP"	396	25495.87	9.3	4.07	10.9	21.1	"Gold — Strong seller"
"a416b6a846a11724393025641d4edd5e"	"SP"	157	24930.24	12.6	4.22	12.5	11.8	"Gold — Strong seller"
"c003204e1ab016dfa150abc119207b24"	"SP"	195	24904.29	9.7	4.44	6.5	18.9	"Platinum — Elite seller"
"1c68394e931a64f90ea236c5ea590300"	"PR"	142	24832.75	15.8	3.93	3.5	11.7	"Silver — Average seller"
"f62d7bb4a613ec758a03342d46b580b2"	"MG"	32	24665.00	13.9	4.38	12.5	8.6	"Gold — Strong seller"
"1900267e848ceeba8fa32d80c1a5f5a8"	"SP"	399	24301.80	12.8	3.87	9.9	32.6	"Silver — Average seller"
"001cca7ae9ae17fb1caed9dfb1094831"	"ES"	192	24177.03	12.9	3.97	5.2	35.4	"Silver — Average seller"
"b94cc9f10ddc85e4ba73a6f7974e7101"	"RJ"	37	24096.30	10.2	4.30	5.4	4.1	"Platinum — Elite seller"
"dc4a0fc896dc34b0d5bfec8438291c80"	"SP"	225	23655.98	13.8	3.82	6.6	19.0	"Silver — Average seller"
"2b3e4a2a3ea8e01938cabda2a3e5cc79"	"SP"	52	23629.15	8.7	4.39	0.0	3.8	"Platinum — Elite seller"
"612170e34b97004b3ba37eae81836b4c"	"RS"	107	23065.02	10.9	4.43	1.8	10.0	"Platinum — Elite seller"
"1a3df491d1c4f1589fc2b934ada68bf2"	"SC"	160	22472.40	15.0	4.25	5.3	18.1	"Gold — Strong seller"
"744dac408745240a2c2528fb1b6028f3"	"PR"	78	22322.60	11.1	4.55	1.2	8.4	"Platinum — Elite seller"
"710e3548e02bc1d2831dfc4f1b5b14d4"	"PR"	130	22259.26	14.1	3.46	3.7	16.6	"Bronze — At-risk seller"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b"	"SP"	20	21940.80	11.5	3.65	25.0	8.0	"Silver — Average seller"
"f45122a9ab94eb4f3f8953578bc0c560"	"SP"	184	21764.68	12.5	3.92	7.1	15.1	"Silver — Average seller"
"897060da8b9a21f655304d50fd935913"	"SP"	301	21654.91	14.4	3.47	11.2	29.8	"Bronze — At-risk seller"
"7ad32824caee82087b3e2e5f33b1bf32"	"SP"	144	21545.10	11.1	3.79	11.3	15.9	"Silver — Average seller"
"8444e55c1f13cd5c179851e5ca5ebd00"	"MG"	92	21480.96	21.3	3.16	10.8	9.1	"Bronze — At-risk seller"
"06e5eefc71ec47ae763c5c6f8db7064f"	"RS"	88	21358.69	11.0	3.96	2.2	9.8	"Silver — Average seller"
"7b0df942f46435babab05d49b744b2c4"	"SP"	31	21311.91	11.0	4.39	9.7	3.0	"Platinum — Elite seller"
"05ff92fedb5be47920fea08e501238b9"	"RS"	57	21235.98	12.3	4.28	5.0	8.2	"Gold — Strong seller"
"59fb871bf6f4522a87ba567b42dafecf"	"SP"	123	21178.60	12.1	4.26	6.4	9.5	"Gold — Strong seller"
"8f2ce03f928b567e3d56181ae20ae952"	"SP"	150	21113.30	14.3	4.12	14.0	17.7	"Gold — Strong seller"
"d2374cbcbb3ca4ab1086534108cc3ab7"	"SP"	509	20665.22	14.3	3.69	5.4	45.2	"Silver — Average seller"
